Id,IOTDeviceId,TimeStamp,DateModified,OperationalStatus,PowerStatus,MaintenanceStatus,PerformanceStatus,HealthStatus,ConfigurationStatus,DHT11SensorDeviceId,Temperature,Humidity,DHT11SensorOperationalStatus,DHT11SensorPowerStatus,DHT11SensorMaintenanceStatus,DHT11SensorPerformanceStatus,DHT11SensorHealthStatus,DHT11SensorConfigurationStatus,GPSDeviceId,Longitude,Latitude,GPSOperationalStatus,GPSPowerStatus,GPSMaintenanceStatus,GPSPerformanceStatus,GPSHealthStatus,GPSConfigurationStatus,UltrasonicSensorDeviceId,Distance,UltrasonicSensorOperationalStatus,UltrasonicSensorPowerStatus,UltrasonicSensorMaintenanceStatus,UltrasonicSensorPerformanceStatus,UltrasonicSensorHealthStatus,UltrasonicSensorConfigurationStatus
fe7783fe-12ab-404b-9781-83a998ee7886,100000000b2da8cb,4/26/2023 4:37:16 AM,4/26/2023 4:37:16 AM,Offline,Off,Scheduled,Slow,Offline,Default,4,0,0,Offline,Off,Scheduled,Slow,Offline,Default,,0,0,Offline,Off,Scheduled,Slow,Offline,Default,18x24,0,Offline,Off,Scheduled,Slow,Offline,Default
888312dd-3ed3-4e45-9d94-a9092ca6a335,100000000b2da8cb,4/26/2023 4:39:04 AM,4/26/2023 4:39:04 AM,Offline,Off,Scheduled,Slow,Offline,Default,4,0,0,Offline,Off,Scheduled,Slow,Offline,Default,,0,0,Offline,Off,Scheduled,Slow,Offline,Default,18x24,0,Offline,Off,Scheduled,Slow,Offline,Default
f98fca9c-d154-4637-b921-14fda36e9b78,100000000b2da8cb,4/26/2023 4:39:10 AM,4/26/2023 4:39:10 AM,Offline,Off,Scheduled,Slow,Offline,Default,4,0,0,Offline,Off,Scheduled,Slow,Offline,Default,,0,0,Offline,Off,Scheduled,Slow,Offline,Default,18x24,0,Offline,Off,Scheduled,Slow,Offline,Default
4fc496b3-0f06-42e5-998e-8804f3302965,100000000b2da8cb,4/26/2023 1:23:30 PM,4/26/2023 1:23:30 PM,Offline,Off,Scheduled,Slow,Offline,Default,4,0,0,Offline,Off,Scheduled,Slow,Offline,Default,,0,0,Offline,Off,Scheduled,Slow,Offline,Default,18x24,0,Offline,Off,Scheduled,Slow,Offline,Default
